departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
General Roca, Nicolas Bruzzone,4,0,0,0,0,0,0,0,0,0,0,0,0,0
General Roca, Onagoity,4,0,1,0,0,1,0,0,0,0,1,0,0,0
General Roca, Pincen,4,0,0,0,0,0,0,0,0,1,0,0,0,0
General Roca, Ranqueles,4,1,0,0,0,0,1,0,0,0,0,0,0,1
General Roca, Villa Huidobro,4,0,0,0,0,0,0,0,0,0,0,0,0,0
General Roca, Villa Sarmiento (G. R.),4,0,0,0,0,0,1,0,0,0,0,1,0,0
General Roca, Villa Valeria,4,0,0,0,0,0,0,0,0,0,0,0,0,0
General Roca, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gral.San Martin, Arroyo Algodon,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Arroyo Cabral,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Ausonia,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Chazon,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Etruria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gral.San Martin, La Laguna,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, La Palestina,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Gral.San Martin, La Playosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Luca,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Gral.San Martin, Pasco,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Silvio Pellico,4,0,1,0,0,1,0,0,0,0,0,0,0,0
Gral.San Martin, Ticino,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Tio Pujio,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Villa Maria,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Gral.San Martin, Villa Nueva,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Gral.San Martin, Zona Rural No Comprendida En Municipios O Comunas,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ischilin, Avellaneda,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischilin, Cañada De Rio Pinto,4,0,0,0,0,1,0,1,0,0,0,0,0,1
